,approved,approved_date,artist,audio_unavailable,beatmap_id,beatmapset_id,bpm,count_normal,count_slider,count_spinner,creator,creator_id,diff_aim,diff_approach,diff_drain,diff_overall,diff_size,diff_speed,difficultyrating,download_unavailable,favourite_count,file_md5,genre_id,hit_length,language_id,last_update,max_combo,mode,passcount,playcount,rating,source,submit_date,tags,title,total_length,version
72,1,2018-05-13 17:00:07,Cranky,0,1582585,751772,170,430,260,1,pishifat,3178418,2.92352,9.2,5,8.5,5,2.62603,5.69829,0,68,d2eb6b0cb2254bd22f144b5b549ccea0,10,121,5,2018-05-05 21:49:37,1047,0,3528,24723,9.05028,,2018-03-20 20:04:49,record5-speed mao hiroshi watanabe featured artist luan,Ran,182,Extra
73,1,2018-05-13 01:00:15,Cranky,0,1582901,751896,165,20,136,2,Sonnyc,11771,0.838639,3,2,2,3,0.659095,1.58751,0,182,6cdb53a31b85132f70735e3859fc329d,10,208,5,2018-05-04 09:06:16,518,0,6417,12456,9.0485,,2018-03-21 01:47:57,osu! rave-slave record2-rave hiroshi watanabe featured artist delis,Rave 2 Rave,211,Easy
74,1,2018-05-13 01:00:15,Cranky,0,1582903,751896,165,91,263,3,Sonnyc,11771,1.14955,5,4,4,4,1.0413,2.24497,0,182,f9c87294507e66ef02b4336543335ec6,10,209,5,2018-05-04 09:06:16,723,0,7101,23733,9.0485,,2018-03-21 01:47:57,osu! rave-slave record2-rave hiroshi watanabe featured artist delis,Rave 2 Rave,211,Normal
75,1,2018-05-13 01:00:15,Cranky,0,1582899,751896,165,231,360,5,Sonnyc,11771,1.71875,8,5,7,4,1.76091,3.50074,0,182,6b144c9ffc37ee541ad7d6863facca2c,10,199,5,2018-05-04 09:06:16,1023,0,10485,43947,9.0485,,2018-03-21 01:47:57,osu! rave-slave record2-rave hiroshi watanabe featured artist delis,Rave 2 Rave,211,Delis' Hard
76,1,2018-05-13 01:00:15,Cranky,0,1582900,751896,165,700,299,4,Sonnyc,11771,2.2112,9,6,8,4,2.4334,4.75571,0,182,901ecbd265acdbc9fa5aeaf63103a329,10,199,5,2018-05-04 09:06:16,1351,0,9585,73287,9.0485,,2018-03-21 01:47:57,osu! rave-slave record2-rave hiroshi watanabe featured artist delis,Rave 2 Rave,211,Delis' Insane
77,1,2018-05-13 01:00:15,Cranky,0,1582902,751896,165,590,548,4,Sonnyc,11771,2.95133,9.7,5,9,4.4,2.53575,5.69486,0,182,72ab0e96882c1c58eb21110919ad133c,10,209,5,2018-05-04 09:06:16,1749,0,7848,67824,9.0485,,2018-03-21 01:47:57,osu! rave-slave record2-rave hiroshi watanabe featured artist delis,Rave 2 Rave,211,Expert
78,1,2018-05-12 14:00:05,Cranky,0,1583147,752022,110,1418,754,2,handsome,2123087,4.04887,9.6,5,9.6,5,3.32354,7.73508,0,87,34d25e09ba15585073c56d9a57b248fd,10,435,5,2018-05-03 16:04:14,3079,0,2943,43227,7.44755,,2018-03-21 10:35:33,"mappers' guild featured artist round 3 rave-slave hiroshi watanabe kurochiyo black feline groove queen pal p.a.l ""complete ver."" record5-speed 渡辺洋 くろちよ",T&J,462,Master
79,1,2010-07-29 01:28:12,Cranky,0,65604,18339,160,77,70,4,tsukamaete,106767,0.909268,4,1,4,4,0.96521,1.90245,0,38,8099e2835488998b3a3ee2b5f143472a,2,113,5,2010-07-27 16:11:16,359,0,8273,16475,8.84381,bms,2010-07-22 15:02:38,alace tsuka,The Five,123,Normal
80,1,2010-07-29 01:28:12,Cranky,0,65500,18339,160,325,85,4,tsukamaete,106767,1.85873,7,6,7,4,2.04183,3.99211,0,38,35e8b54b29434295899a1bd3075294fa,2,117,5,2010-07-27 16:11:16,533,0,8632,48706,8.84381,bms,2010-07-22 15:02:38,alace tsuka,The Five,122,Hyper
81,1,2010-07-29 01:28:12,Cranky,0,64996,18339,160,359,122,3,tsukamaete,106767,2.46101,8,6,8,5,2.17484,4.77893,0,38,f804ad9142e8dc1785fc74d5d5ce6713,2,117,5,2010-07-27 16:11:16,621,0,8949,65842,8.84381,bms,2010-07-22 15:02:38,alace tsuka,The Five,123,Another
82,1,2018-11-06 07:40:05,Cranky,0,1773167,847900,136.5,151,148,3,Mirash,2841009,0.992096,3,3,3,3,0.889299,1.93279,0,38,11bfd662a384f444f83ac3c9dcfca317,10,249,5,2018-10-28 13:12:30,573,0,1548,3510,9.14493,,2018-09-12 16:56:16,trynna pandahero pishifat mappers' guild osu! featured artist fa record5 speed hiroshi watanabe feline groove,Time Alter,277,Easy
83,1,2018-11-06 07:40:05,Cranky,0,1773171,847900,136.5,167,301,2,Mirash,2841009,1.13043,6,5,4,4,1.03247,2.21188,0,38,ee8d292218381c47b99fc59ae035a789,10,246,5,2018-10-28 13:12:30,800,0,1467,4410,9.14493,,2018-09-12 16:56:16,trynna pandahero pishifat mappers' guild osu! featured artist fa record5 speed hiroshi watanabe feline groove,Time Alter,277,Trynna's Normal
84,1,2018-11-06 07:40:05,Cranky,0,1773170,847900,136.5,332,357,2,Mirash,2841009,1.5481,7.7,5.7,6.7,3.7,1.824,3.51005,0,38,9e51e30a0a488d8b6cea9b760f7889da,10,230,5,2018-10-28 13:12:30,1157,0,1233,6372,9.14493,,2018-09-12 16:56:16,trynna pandahero pishifat mappers' guild osu! featured artist fa record5 speed hiroshi watanabe feline groove,Time Alter,277,pishi's Hard
85,1,2018-11-06 07:40:05,Cranky,0,1773169,847900,136.5,798,263,3,Mirash,2841009,2.47178,9,6,8,4,2.2776,4.84648,0,38,fe45ad21ddbdddc4871bdfefec48ebd6,10,254,5,2018-10-28 13:12:30,1355,0,1278,9216,9.14493,,2018-09-12 16:56:16,trynna pandahero pishifat mappers' guild osu! featured artist fa record5 speed hiroshi watanabe feline groove,Time Alter,277,PandaHero's Insane
86,1,2018-11-06 07:40:05,Cranky,0,1773168,847900,136.5,918,364,0,Mirash,2841009,2.91088,9.3,7,8,4,2.69197,5.7123,0,38,b13e0fa6333029defdfd1ab8ee2b51b3,10,265,5,2018-10-28 13:12:30,1699,0,981,10719,9.14493,,2018-09-12 16:56:16,trynna pandahero pishifat mappers' guild osu! featured artist fa record5 speed hiroshi watanabe feline groove,Time Alter,277,Extra
87,1,2014-12-03 20:21:05,cranky,0,377855,150649,145,29,57,3,Yoeri,1441635,0.702873,2,2,2,2,0.656261,1.38244,0,22,8c53585a7a413013e9bf90db06dce0a3,5,90,2,2014-11-26 19:49:14,207,0,2796,4885,8.87435,,2014-02-16 00:10:26,xyz,X-Y-Z,109,Easy
88,1,2014-12-03 20:21:05,cranky,0,377372,150649,145,58,81,3,Yoeri,1441635,0.981702,4,3,4,3,0.867084,1.90609,0,22,d31f2267ffa728d6310b408779cebca6,5,95,2,2014-11-26 19:49:14,256,0,2792,5977,8.87435,,2014-02-16 00:10:26,xyz,X-Y-Z,109,Normal
89,1,2014-12-03 20:21:05,cranky,0,372160,150649,145,156,74,4,Yoeri,1441635,1.6615,7.5,5,6,4,1.52433,3.25442,0,22,d2fa4f44f072e65de29917961add33d4,5,95,2,2014-11-26 19:49:14,438,0,5739,14585,8.87435,,2014-02-16 00:10:26,xyz,X-Y-Z,109,Hard
90,1,2014-12-03 20:21:05,cranky,0,371661,150649,145,220,123,4,Yoeri,1441635,2.27568,8.3,6,8,5,1.85513,4.34108,0,22,5330dda821ed35c6347a29ca7c3054ee,5,96,2,2014-11-26 19:49:14,556,0,2290,15679,8.87435,,2014-02-16 00:10:26,xyz,X-Y-Z,109,Insane
