,beatmapset_id,beatmap_id,approved,total_length,hit_length,version,file_md5,diff_size,diff_overall,diff_approach,diff_drain,mode,count_normal,count_slider,count_spinner,submit_date,approved_date,last_update,artist,title,creator,creator_id,bpm,source,tags,genre_id,language_id,favourite_count,rating,download_unavailable,audio_unavailable,playcount,passcount,max_combo,diff_aim,diff_speed,difficultyrating
42,34909,114145,1,92,91,Hard,ec0f1a26e75a352fb490a8117544d012,4,5,7,5,0,166,90,1,2011-08-12 17:37:27,2011-09-30 02:56:08,2011-09-20 07:36:48,07th Expansion,HANE,Kanon,109249,131,Umineko no Naku Koro Ni,selee nymph_ when they cry fanzhen0019 dai feathers,2,5,96,9.41817,0,0,95350,24893,367,1.594688057899475,1.5761165618896484,3.1800904273986816
43,34909,114125,1,92,92,Selee's Insane,476322b858c1727c75036f96ddeb714c,5,7,7,7,0,234,87,0,2011-08-12 17:37:27,2011-09-30 02:56:08,2011-09-20 07:36:48,07th Expansion,HANE,Kanon,109249,131,Umineko no Naku Koro Ni,selee nymph_ when they cry fanzhen0019 dai feathers,2,5,96,9.41817,0,0,118133,24212,424,1.9017657041549683,1.698699712753296,3.701998472213745
44,24029,82044,1,139,129,Easy,f7d5d65de3217696862bcb0fd0fb5467,3,2,2,2,0,67,77,1,2010-12-24 15:36:40,2011-03-19 08:53:50,2011-03-18 15:06:25,07th Expansion,Happiness of Marionette,gdeath,104700,98,Umineko no Naku Koro ni,dai video game seagulls when they cry visual novel huang99520 bakahuang,2,5,191,9.43066,0,0,58975,27909,260,0.8484984040260315,0.7702347040176392,1.6578649282455444
45,24029,81899,1,139,137,Normal,70b48092b1276e68eb3b094aacaaf063,4,5,5,5,0,134,95,0,2010-12-24 15:36:40,2011-03-19 08:53:50,2011-03-18 15:06:25,07th Expansion,Happiness of Marionette,gdeath,104700,98,Umineko no Naku Koro ni,dai video game seagulls when they cry visual novel huang99520 bakahuang,2,5,191,9.43066,0,0,117067,48282,346,1.12468683719635,1.0051994323730469,2.1896297931671143
46,24029,81898,1,139,137,Hard,250f8e16888f3567b0f148f1be78205c,4,7,8,6,0,307,77,0,2010-12-24 15:36:40,2011-03-19 08:53:50,2011-03-18 15:06:25,07th Expansion,Happiness of Marionette,gdeath,104700,98,Umineko no Naku Koro ni,dai video game seagulls when they cry visual novel huang99520 bakahuang,2,5,191,9.43066,0,0,224464,61468,482,1.8380614519119263,1.3498533964157104,3.432018995285034
47,32726,108396,1,161,121,Calm,87473a6f1c6a63fab099a0358023d667,3,2,5,2,0,30,100,1,2011-07-03 04:58:06,2011-07-15 02:29:13,2011-07-15 02:27:02,07th Expansion,haze,Shiirn,465126,167,Umineko no Naku Koro ni,natteke lanttu,2,5,70,9.45324,0,0,19432,10475,355,0.8034255504608154,0.7689309120178223,1.5896037817001343
48,32726,108397,1,161,121,Lanttu,d9b02f506c58dbf89b86ceacab07b2f4,3,3,5,2,0,20,131,1,2011-07-03 04:58:06,2011-07-15 02:29:13,2011-07-15 02:27:02,07th Expansion,haze,Shiirn,465126,167,Umineko no Naku Koro ni,natteke lanttu,2,5,70,9.45324,0,0,23712,11549,343,0.9769326448440552,0.8197400569915771,1.8752690553665161
49,32726,108399,1,161,121,Shiirn,1117fd69ab4984c3839446668e84b2cb,4,6,7,6,0,129,181,1,2011-07-03 04:58:06,2011-07-15 02:29:13,2011-07-15 02:27:02,07th Expansion,haze,Shiirn,465126,167,Umineko no Naku Koro ni,natteke lanttu,2,5,70,9.45324,0,0,67313,15455,612,1.573099970817566,1.627550482749939,3.2278757095336914
50,32726,108398,1,161,121,Natteke,60d01cfcfee54dd5d5e45a374e65259a,4,7,8,7,0,207,144,1,2011-07-03 04:58:06,2011-07-15 02:29:13,2011-07-15 02:27:02,07th Expansion,haze,Shiirn,465126,167,Umineko no Naku Koro ni,natteke lanttu,2,5,70,9.45324,0,0,63469,16311,518,1.9510325193405151,1.9019190073013306,3.8775081634521484
51,104377,275898,1,167,134,Normal,5e81a81a520e1431bdf333152d404920,3,3,4,3,0,30,110,4,2013-07-12 19:39:20,2013-07-31 22:16:08,2013-07-31 22:12:37,07th Expansion,hope,Leader,631530,130,Umineko no Naku Koro ni,うみねこのなく頃に when they cry dai piano visual novel bgm,2,5,197,9.29238,0,0,74946,33013,286,0.8813719153404236,0.7111916542053223,1.6776536703109741
